technique_id,name,description,tactics_str,platforms,entity_count,group_count,software_count,frequency_category,total_score,all_entities,groups,software,Claude Classification,Claude Reasoning,Claude Network_Artifact,Gork Classification,Grok Reasoning,Gork Network Artifact,GPT Classification,GPT Reasoning,GPT Network Artifact,Gemini Classification,Gemini Reasoning,Gemini Network Artifact
T1204.002,Malicious File,An adversary may rely upon a user opening a malicious file in order to gain execution. Users may be subjected to social engineering to get them to open a file that will lead to code execution. This user action will typically be observed as follow-on behavior from [Spearphishing Attachment](https://a...,execution,"Linux, macOS, Windows",13,9,4,High-Priority,70.4,"APT38, Andariel, Cobalt Group, Dridex, IcedID, Indrik Spider, Lazarus Group, Malteiro, QakBot, RTM, Silence, TA505, TrickBot","APT38, Andariel, Cobalt Group, Indrik Spider, Lazarus Group, Malteiro, RTM, Silence, TA505","Dridex, IcedID, QakBot, TrickBot",NO,Malicious file execution is local process launch,None,NO,Local file execution no network traffic,None,NO,User executes malicious file locally,None,NO,Local execution of file generates no traffic,None
T1059.003,Windows Command Shell,"Adversaries may abuse the Windows command shell for execution. The Windows command shell ([cmd](https://attack.mitre.org/software/S0106)) is the primary command prompt on Windows systems. The Windows command prompt can be used to control almost any aspect of a system, with various permission levels ...",execution,Windows,11,6,5,High-Priority,70.4,"APT38, Bankshot, Carbanak, Cobalt Group, Indrik Spider, Lazarus Group, QakBot, Silence, TA505, TrickBot, Zeus Panda","APT38, Cobalt Group, Indrik Spider, Lazarus Group, Silence, TA505","Bankshot, Carbanak, QakBot, TrickBot, Zeus Panda",NO,Windows command shell execution is local,None,NO,Local shell execution no network traffic,None,NO,Executes commands via cmd shell,None,NO,Local shell execution generates no network traffic,None
T1059.005,Visual Basic,Adversaries may abuse Visual Basic (VB) for execution. VB is a programming language created by Microsoft with interoperability with many Windows technologies such as [Component Object Model](https://attack.mitre.org/techniques/T1559/001) and the [Native API](https://attack.mitre.org/techniques/T1106...,execution,"Linux, macOS, Windows",9,6,3,High-Priority,70.4,"APT38, Cobalt Group, IcedID, Lazarus Group, Malteiro, QakBot, Silence, TA505, Ursnif","APT38, Cobalt Group, Lazarus Group, Malteiro, Silence, TA505","IcedID, QakBot, Ursnif",NO,Visual Basic execution is local script processing,None,NO,Local VB execution no network traffic,None,NO,Runs Visual Basic scripts locally,None,NO,Local script execution generates no network traffic,None
T1059.001,PowerShell,"Adversaries may abuse PowerShell commands and scripts for execution. PowerShell is a powerful interactive command-line interface and scripting environment included in the Windows operating system.(Citation: TechNet PowerShell) Adversaries can use PowerShell to perform a number of actions, including ...",execution,Windows,11,7,4,High-Priority,70.4,"APT38, Cobalt Group, DarkVishnya, Indrik Spider, Lazarus Group, QakBot, Silence, TA505, TrickBot, Ursnif, Zeus Panda","APT38, Cobalt Group, DarkVishnya, Indrik Spider, Lazarus Group, Silence, TA505","QakBot, TrickBot, Ursnif, Zeus Panda",NO,PowerShell execution is local script processing,None,NO,Local PowerShell execution no network traffic,None,NO,Runs PowerShell scripts on host,None,NO,Local script execution generates no network traffic,None
T1055,Process Injection,Adversaries may inject code into processes in order to evade process-based defenses as well as possibly elevate privileges. Process injection is a method of executing arbitrary code in the address space of a separate live process. Running code in the context of another process may allow access to th...,"defense-evasion, privilege-escalation","Linux, macOS, Windows",6,3,3,High-Priority,68.8,"APT38, Cobalt Group, Dyre, QakBot, Silence, TrickBot","APT38, Cobalt Group, Silence","Dyre, QakBot, TrickBot",NO,Process injection is local memory operation,None,NO,Local process injection no network traffic,None,NO,Injects code into processes locally,None,NO,Memory manipulation is invisible to network sensors,None
T1547.001,Registry Run Keys / Startup Folder,"Adversaries may achieve persistence by adding a program to a startup folder or referencing it with a Registry run key. Adding an entry to the ""run keys"" in the Registry or startup folder will cause the program referenced to be executed when a user logs in.(Citation: Microsoft Run Key) These programs...","persistence, privilege-escalation",Windows,11,4,7,High-Priority,68,"Carbanak, Carberp, Cobalt Group, IcedID, Lazarus Group, QakBot, RTM, Silence, TrickBot, Ursnif, Zeus Panda","Cobalt Group, Lazarus Group, RTM, Silence","Carbanak, Carberp, IcedID, QakBot, TrickBot, Ursnif, Zeus Panda",NO,Registry run keys modification is local operation,None,NO,Local persistence setup no network traffic,None,NO,Modifies run keys/startup folders,None,NO,Local registry modification is invisible on wire,None
T1218.007,Msiexec,Adversaries may abuse msiexec.exe to proxy execution of malicious payloads. Msiexec.exe is the command-line utility for the Windows Installer and is thus commonly associated with executing installation packages (.msi).(Citation: Microsoft msiexec) The Msiexec.exe binary may also be digitally signed ...,defense-evasion,Windows,4,2,2,Common,68,"APT38, IcedID, QakBot, TA505","APT38, TA505","IcedID, QakBot",NO,Msiexec abuse is local process execution,None,NO,Local execution proxy no network traffic,None,PARTIAL,Msiexec may fetch packages over network,"MSI download traffic, unusual user-agents",PARTIAL,Detectable only if MSI is retrieved remotely,HTTP GET for .msi files
T1053.005,Scheduled Task,"Adversaries may abuse the Windows Task Scheduler to perform task scheduling for initial or recurring execution of malicious code. There are multiple ways to access the Task Scheduler in Windows. The [schtasks](https://attack.mitre.org/software/S0111) utility can be run directly on the command line, ...","execution, persistence, privilege-escalation",Windows,9,4,5,High-Priority,67.47,"APT38, Cobalt Group, Dridex, Dyre, IcedID, Lazarus Group, QakBot, Silence, TrickBot","APT38, Cobalt Group, Lazarus Group, Silence","Dridex, Dyre, IcedID, QakBot, TrickBot",NO,Scheduled task creation is local system operation,None,NO,Local task scheduling no network traffic,None,NO,Schedules tasks on host,None,NO,Local task scheduling generates no network traffic,None
T1562.004,Disable or Modify System Firewall,"Adversaries may disable or modify system firewalls in order to bypass controls limiting network usage. Changes could be disabling the entire mechanism as well as adding, deleting, or modifying particular rules. This can be done numerous ways depending on the operating system, including via command-l...",defense-evasion,"ESXi, Linux, macOS, Network Devices, Windows",3,3,0,Medium,67,"APT38, Carbanak, Lazarus Group","APT38, Carbanak, Lazarus Group",,PARTIAL,Firewall modification may change traffic patterns,"Traffic pattern changes, new connections",NO,Local firewall modification no network traffic,None,NO,Modifies system firewall settings locally,None,NO,Local firewall config change invisible to external sensor,None
T1518.001,Security Software Discovery,"Adversaries may attempt to get a listing of security software, configurations, defensive tools, and sensors that are installed on a system or in a cloud environment. This may include things such as cloud monitoring agents and anti-virus. Adversaries may use the information from [Security Software Di...",discovery,"IaaS, Linux, macOS, Windows",7,3,4,High-Priority,66.4,"APT38, Carberp, Cobalt Group, IcedID, Malteiro, QakBot, Zeus Panda","APT38, Cobalt Group, Malteiro","Carberp, IcedID, QakBot, Zeus Panda",NO,Security software discovery is local enumeration,None,NO,Local software discovery no network traffic,None,NO,Enumerates security software locally,None,NO,Local software enumeration has no network component,None
T1106,Native API,"Adversaries may interact with the native OS application programming interface (API) to execute behaviors. Native APIs provide a controlled means of calling low-level OS services within the kernel, such as those involving hardware/devices, memory, and processes.(Citation: NT API Windows)(Citation: Li...",execution,"Linux, macOS, Windows",11,4,7,High-Priority,66.4,"APT38, Bankshot, Carberp, Dridex, IcedID, Lazarus Group, QakBot, Silence, TA505, TrickBot, Ursnif","APT38, Lazarus Group, Silence, TA505","Bankshot, Carberp, Dridex, IcedID, QakBot, TrickBot, Ursnif",NO,Native API calls are local system interaction,None,NO,Local API calls no network traffic,None,NO,Invokes native API locally,None,NO,Local API calls are invisible to network,None
T1566.001,Spearphishing Attachment,Adversaries may send spearphishing emails with a malicious attachment in an attempt to gain access to victim systems. Spearphishing attachment is a specific variant of spearphishing. Spearphishing attachment is different from other forms of spearphishing in that it employs the use of malware attache...,initial-access,"Linux, macOS, Windows",11,8,3,High-Priority,65.8,"APT38, Andariel, Cobalt Group, IcedID, Lazarus Group, Malteiro, QakBot, RTM, Silence, TA505, TrickBot","APT38, Andariel, Cobalt Group, Lazarus Group, Malteiro, RTM, Silence, TA505","IcedID, QakBot, TrickBot",PARTIAL,Spearphishing attachment may show in email metadata,"Attachment types, sender reputation",PARTIAL,Email delivery visible but often encrypted,Attachment signatures if unencrypted,PARTIAL,Malicious email attachments delivered via SMTP,"Suspicious attachments, email metadata",YES,Email delivery of attachment visible via SMTP/POP/IMAP,"MIME attachments, subject lines, sender reputation"
T1055.001,Dynamic-link Library Injection,"Adversaries may inject dynamic-link libraries (DLLs) into processes in order to evade process-based defenses as well as possibly elevate privileges. DLL injection is a method of executing arbitrary code in the address space of a separate live process.  

DLL injection is commonly performed by writin...","defense-evasion, privilege-escalation",Windows,5,3,2,Common,63.8,"Carberp, Dyre, Lazarus Group, Malteiro, TA505","Lazarus Group, Malteiro, TA505","Carberp, Dyre",NO,DLL injection is local memory operation,None,NO,Local DLL injection no network traffic,None,NO,Injects DLLs into processes,None,NO,Local memory injection is invisible on wire,None
T1553.005,Mark-of-the-Web Bypass,"Adversaries may abuse specific file formats to subvert Mark-of-the-Web (MOTW) controls. In Windows, when files are downloaded from the Internet, they are tagged with a hidden NTFS Alternate Data Stream (ADS) named <code>Zone.Identifier</code> with a specific value known as the MOTW.(Citation: Micros...",defense-evasion,Windows,3,2,1,Medium,63,"APT38, QakBot, TA505","APT38, TA505",QakBot,NO,MOTW bypass is local file attribute modification,None,NO,Local bypass mechanism no network traffic,None,NO,Bypasses Mark-of-the-Web locally,None,NO,Local file attribute modification is invisible,None
T1070.006,Timestomp,"Adversaries may modify file time attributes to hide new files or changes to existing files. Timestomping is a technique that modifies the timestamps of a file (the modify, access, create, and change times), often to mimic files that are in the same folder and blend malicious files with legitimate fi...",defense-evasion,"ESXi, Linux, macOS, Windows",3,2,1,Medium,63,"APT38, Bankshot, Lazarus Group","APT38, Lazarus Group",Bankshot,NO,Timestomping is local file metadata modification,None,NO,Local timestamp change no network traffic,None,NO,Alters file timestamps locally,None,NO,Local file timestamp modification is invisible,None
T1012,Query Registry,"Adversaries may interact with the Windows Registry to gather information about the system, configuration, and installed software.

The Registry contains a significant amount of information about the operating system, configuration, software, and security.(Citation: Wikipedia Windows Registry) Inform...",discovery,Windows,7,2,5,High-Priority,62.4,"Bankshot, Carbanak, Carberp, Indrik Spider, Lazarus Group, Ursnif, Zeus Panda","Indrik Spider, Lazarus Group","Bankshot, Carbanak, Carberp, Ursnif, Zeus Panda",NO,Registry query is local system operation,None,NO,Local registry query no network traffic,None,NO,Queries registry information locally,None,NO,Local registry queries generate no network traffic,None
T1588.002,Tool,"Adversaries may buy, steal, or download software tools that can be used during targeting. Tools can be open or closed source, free or commercial. A tool can be used for malicious purposes by an adversary, but (unlike malware) were not intended to be used for those purposes (ex: [PsExec](https://atta...",resource-development,PRE,7,7,0,High-Priority,62,"APT38, Carbanak, Cobalt Group, DarkVishnya, Lazarus Group, Silence, TA505","APT38, Carbanak, Cobalt Group, DarkVishnya, Lazarus Group, Silence, TA505",,NO,Tool acquisition occurs outside target network,None,NO,Pre-attack tool acquisition no victim network,None,NO,Acquires tools/resources offline,None,YES,Acquisition of tools visible if downloaded over network,File downloads from known tool repos
T1027,Obfuscated Files or Information,"Adversaries may attempt to make an executable or file difficult to discover or analyze by encrypting, encoding, or otherwise obfuscating its contents on the system or in transit. This is common behavior that can be used across different platforms and the network to evade defenses. 

Payloads may be ...",defense-evasion,"ESXi, Linux, macOS, Network Devices, Windows",4,0,4,Common,60,"Carbanak, Dridex, QakBot, TrickBot",,"Carbanak, Dridex, QakBot, TrickBot",NO,File obfuscation is static file modification,None,NO,Local file obfuscation no network traffic,None,NO,Obfuscates files/information locally,None,PARTIAL,Detectable only during transfer via entropy analysis,High entropy payloads in transit
T1564.001,Hidden Files and Directories,"Adversaries may set files and directories to be hidden to evade detection mechanisms. To prevent normal users from accidentally changing special files on a system, most operating systems have the concept of a ‘hidden’ file. These files don’t show up when a user browses the file system with a GUI or ...",defense-evasion,"Linux, Windows, macOS",3,1,2,Medium,59,"Carberp, Lazarus Group, QakBot",Lazarus Group,"Carberp, QakBot",NO,Hidden files/directories is local attribute setting,None,NO,Local file hiding no network traffic,None,NO,Hides files/directories on host,None,NO,Local file attribute modification is invisible,None
T1218.010,Regsvr32,"Adversaries may abuse Regsvr32.exe to proxy execution of malicious code. Regsvr32.exe is a command-line program used to register and unregister object linking and embedding controls, including dynamic link libraries (DLLs), on Windows systems. The Regsvr32.exe binary may also be signed by Microsoft....",defense-evasion,Windows,3,1,2,Medium,59,"Cobalt Group, Dridex, QakBot",Cobalt Group,"Dridex, QakBot",NO,Regsvr32 abuse is local process execution,None,NO,Local execution proxy no network traffic,None,NO,Executes code using regsvr32 locally,None,PARTIAL,Detectable if loading remote scriptlet (Squiblydoo),HTTP GET for .sct files
T1218.001,Compiled HTML File,"Adversaries may abuse Compiled HTML files (.chm) to conceal malicious code. CHM files are commonly distributed as part of the Microsoft HTML Help system. CHM files are compressed compilations of various content such as HTML documents, images, and scripting/web related programming languages such VBA,...",defense-evasion,Windows,2,2,0,Medium,58,"APT38, Silence","APT38, Silence",,NO,CHM file execution is local file processing,None,NO,Local file execution no network traffic,None,NO,Executes CHM/HTML help files locally,None,NO,Local execution of CHM generates no traffic,None
T1218.005,Mshta,Adversaries may abuse mshta.exe to proxy execution of malicious .hta files and Javascript or VBScript through a trusted Windows utility. There are several examples of different types of threats leveraging mshta.exe during initial compromise and for execution of code (Citation: Cylance Dust Storm) (C...,defense-evasion,Windows,2,2,0,Medium,58,"APT38, Lazarus Group","APT38, Lazarus Group",,NO,Mshta abuse is local script execution,None,NO,Local execution proxy no network traffic,None,PARTIAL,Mshta may download remote scripts,HTTP requests by mshta,PARTIAL,Detectable if executing remote HTA file,HTTP GET for .hta files
T1036.003,Rename Legitimate Utilities,"Adversaries may rename legitimate / system utilities to try to evade security mechanisms concerning the usage of those utilities. Security monitoring and control mechanisms may be in place for legitimate utilities adversaries are capable of abusing, including both built-in binaries and tools such as...",defense-evasion,"Linux, macOS, Windows",2,2,0,Medium,58,"APT38, Lazarus Group","APT38, Lazarus Group",,NO,Utility renaming is local filesystem operation,None,NO,Local utility renaming no network traffic,None,NO,Renames utilities to masquerade,None,NO,Local file renaming is invisible on wire,None
T1036.004,Masquerade Task or Service,Adversaries may attempt to manipulate the name of a task or service to make it appear legitimate or benign. Tasks/services executed by the Task Scheduler or systemd will typically be given a name and/or description.(Citation: TechNet Schtasks)(Citation: Systemd Service Units) Windows services will h...,defense-evasion,"Linux, macOS, Windows",2,2,0,Medium,58,"Carbanak, Lazarus Group","Carbanak, Lazarus Group",,NO,Task/service name masquerading is local operation,None,NO,Local task masquerading no network traffic,None,NO,Masquerades tasks/services names,None,NO,Local service naming is invisible on wire,None
T1070.001,Clear Windows Event Logs,"Adversaries may clear Windows Event Logs to hide the activity of an intrusion. Windows Event Logs are a record of a computer's alerts and notifications. There are three system-defined sources of events: System, Application, and Security, with five event types: Error, Warning, Information, Success Au...",defense-evasion,Windows,2,2,0,Medium,58,"APT38, Indrik Spider","APT38, Indrik Spider",,NO,Event log clearing is local log operation,None,NO,Local log clearing no network traffic,None,NO,Clears Windows event logs locally,None,NO,Local log deletion is invisible on wire,None
T1083,File and Directory Discovery,Adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system. Adversaries may use the information from [File and Directory Discovery](https://attack.mitre.org/techniques/T1083) during automated discovery t...,discovery,"ESXi, Linux, macOS, Network Devices, Windows",6,2,4,High-Priority,57.4,"APT38, Bankshot, Lazarus Group, QakBot, TrickBot, Zeus Panda","APT38, Lazarus Group","Bankshot, QakBot, TrickBot, Zeus Panda",NO,File/directory discovery is local filesystem operation,None,NO,Local file discovery no network traffic,None,NO,Enumerates files/directories locally,None,NO,Local file system enumeration is invisible,None
T1005,Data from Local System,"Adversaries may search local system sources, such as file systems, configuration files, local databases, virtual machine files, or process memory, to find files of interest and sensitive data prior to Exfiltration.

Adversaries may do this using a [Command and Scripting Interpreter](https://attack.m...",collection,"ESXi, Linux, macOS, Network Devices, Windows",7,3,4,High-Priority,56,"APT38, Andariel, Bankshot, Lazarus Group, QakBot, TrickBot, Ursnif","APT38, Andariel, Lazarus Group","Bankshot, QakBot, TrickBot, Ursnif",NO,Local data collection is filesystem operation,None,NO,Local data collection no network traffic,None,NO,Collects data from local system,None,NO,Local data collection is invisible on wire,None
T1027.003,Steganography,"Adversaries may use steganography techniques in order to prevent the detection of hidden information. Steganographic techniques can be used to hide data in digital media such as images, audio tracks, video clips, or text files.

[Duqu](https://attack.mitre.org/software/S0038) was an early example of...",defense-evasion,"Linux, macOS, Windows",2,1,1,Medium,54,"Andariel, IcedID",Andariel,IcedID,PARTIAL,Steganography in transferred files requires content analysis,"Unusual image file patterns, entropy anomalies",NO,Local steganography no network traffic,None,NO,Uses steganography to hide data,None,PARTIAL,Detectable if steganographic image transferred over network,Anomalous image file size/entropy
T1027.009,Embedded Payloads,"Adversaries may embed payloads within other files to conceal malicious content from defenses. Otherwise seemingly benign files (such as scripts and executables) may be abused to carry and obfuscate malicious payloads and content. In some cases, embedded payloads may also enable adversaries to [Subve...",defense-evasion,"Linux, macOS, Windows",2,1,1,Medium,54,"IcedID, Lazarus Group",Lazarus Group,IcedID,NO,Embedded payloads are static file content,None,NO,Local payload embedding no network traffic,None,NO,Embeds payloads within other files,None,NO,Local file structure manipulation is invisible,None
